#iin;location;type;issuername;phone
370370;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
370371;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
370372;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
370373;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
370374;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
370375;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
370376;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
370377;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
370378;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
370379;UNITED STATES OF AMERICA;Amex;AMEX PLATINUM;
371000;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371001;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371002;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371003;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371004;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371005;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371006;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371007;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371008;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371009;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371010;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371011;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371012;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371013;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371014;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371015;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371016;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371017;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371018;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371019;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371020;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371021;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371022;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371023;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371024;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371025;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371026;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371027;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371028;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371029;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371030;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371031;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371032;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371033;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371034;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371035;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371036;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371037;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371038;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371039;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371040;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371041;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371042;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371043;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371044;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371045;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371046;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371047;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371048;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371049;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371050;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371051;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371052;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371053;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371054;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371055;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371056;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371057;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371058;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371059;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371060;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371061;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371062;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371063;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371064;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371065;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371066;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371067;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371068;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371069;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371070;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371071;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371072;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371073;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371074;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371075;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371076;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371077;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371078;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371079;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371080;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371081;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371082;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371083;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371084;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371085;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371086;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371087;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371088;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371089;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371090;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371091;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371092;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371093;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371094;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371095;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371096;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371097;UNITED STATES OF AMERICA;Amex;AMERICAN EXPRESS;800-528-4800
371098;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371099;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371100;;AMEX;;
371102;;AMEX;;
371105;;AMEX;;
371121;;AMEX;;
371126;;AMEX;;
371129;;AMEX;;
371150;;AMEX;;
371153;;AMEX;;
371171;;AMEX;;
371200;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371201;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371202;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371203;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371204;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371205;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371206;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371207;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371208;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371209;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371210;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371211;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371212;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371213;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371214;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371215;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371216;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371217;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371218;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371219;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371220;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371221;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371222;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371223;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371224;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371225;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371226;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371227;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371228;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371229;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
371230;UNITED STATES OF AMERICA;Amex;AMEX GREEN;800-528-4800
