#A-international registration
#RID; Applicant; Country
A000000001; PBS Danmønt A/S; Denmark
A000000002; Mondex International Ltd.; UK
A000000003; Visa International; US
A000000004; Mastercard International; US
A000000005; Switch Card Services Ltd.; UK
A000000006; Cardintell S.A.; Switzerland
A000000007; National Westminster Bank Plc; UK
A000000008; GyD Iberica; Spain
A000000009; ETSI; France
A000000010; Europay International; Belgium
A000000011; TSB Bank Plc; UK
A000000012; BT; UK
A000000013; OTB Card Company Limited; Hong Kong
A000000014; Touch Technology Inc.; US
A000000015; Pocket Key S.R.L.; Italy
A000000016; Computercentrum C. van de Velden B:V (CCV); Netherlands
A000000017; Veron SpA; Italy
A000000018; GEMPLUS; France
A000000019; ID Data Systems Ltd.; UK
A000000020; Laurel Intelligent Systems Co. Ltd.; Japan
A000000021; National CacheCard Co.; US
A000000022; G.I.E. SESAM-VITALE; France
A000000023; ATA/IATA; US
A000000024; Midland Bank Plc; UK
A000000025; American Express; UK
A000000026; Nationwide Building Society; UK
A000000027; OSI Plus Corporation; Japan
A000000028; MONET+; Czech Republic
A000000029; LINK Interchange Network Ltd; UK
A000000030; Schlumberger Industries Identif d'Encarteur PR050; France
A000000031; Kokusai Denshin Denwa Co., Ltd.; Japan
A000000032; De Post Belgie; Belgium
A000000033; Banque Carrefour de la Securite Sociale; Belgium
A000000034; Bank of Scotland; UK
A000000035; Sistema 4B; Spain
A000000036; The Co-operative Bank; UK
A000000037; SEIS; Sweden
A000000038; Delhaize De Leeuw; Belgium
A000000039; Acorn Group; UK
A000000040; ICL; US
A000000041; Timelox AB; Sweden
A000000042; Groupement des Cartes Bancaires "CB"; France
A000000043; Eclipse Medi Save America Corp.; US
A000000044; GSS (Global Specification for Short Range Communication); Germany
A000000045; Barclays; UK
A000000046; Transtex S.A.; Argentina
A000000047; Security Dynamics Techn. Inc.; Sweden
A000000048; CARDAG, Karten und Technologie; Switzerland
A000000049; Clydesdale Bank P.L.C.; UK
A000000050; Yorkshire Bank P.L.C.; UK
A000000051; Northern Bank Limited; UK
A000000052; Sainsbury Supermarkets Ltd. (ATC-payments); UK
A000000053; Sani Group Italia S.R.L.; Italy
A000000054; Alacarte Engineering; Belgium
A000000055; BankomatCentralen AB; Sweden
A000000056; Datakey, Inc.; US
A000000057; Global Chipcard Alliance (GCA); US
A000000058; AB InTech; Estonia
A000000059; Zentraler Kreditausschuss (ZKA); Germany
A000000060; Applied Card Technologies Ltd; UK
A000000061; Mycal Card Incorporated; Japan
A000000062; Sun Microsystems Inc.; US
A000000063; RSA Laboratories; US
A000000064; Schindler Elevator Corp.; US
A000000065; JCB CO., LTD.; Japan
A000000066; Secunet Security Networks GmbH; Germany
A000000067; Iris Technologies Sdn. Bhd.; Malaysia
A000000068; CardLogix Corporation; US
A000000069; Société Européenne de Monnaie Electronique SEME; France
A000000070; Prism Card Technologies; South Africa
A000000071; Euro Information; France
A000000072; Royal Bank of Canada; Canada
A000000073; Netlink Consortium; France
A000000074; Smart Card Solutions (Development Services) Ltd.; UK
A000000075; Open Interactive Limited; UK
A000000077; Oberthur Technologies; France
A000000078; Welcome Real-Time; France
A000000079; Activcard Europe S.A.; France
A000000080; Smart TV; US
A000000081; Worldcard (2000) Ltd.; UK
A000000082; Union Internationale des Chemins de Fer; France
A000000083; Percomad B.V.; Netherlands
A000000084; Precise Biometrics AB; Sweden
A000000085; USIS Management Inc.; US
A000000086; Strålfors AB; Sweden
A000000087; Third Generation Partnership Project (3GPP); France
A000000088; Buypass AS; Norway
A000000089; American Association of Motor Vehicle Administrators; US
A000000090; Smart Card Solutions, LIC; US
A000000091; Cybermark; US
A000000092; Mobile-Mind; US
A000000093; Ask S.A.; France
A000000094; MULTOS Promotion Association; Japan
A000000095; Incard S.p.A.; Italy
A000000096; Sa Proton World International N.V.; Belgium
A000000097; CIC GLOBAL; New Zealand
A000000098; Visa USA; US
A000000099; Cryptocard Corporation; Canada
A000000100; Net Time Corp.; Japan
A000000101; New Financial Systems, Services & Products, Dept. Financial Systems Division, Hitachi Ltd.; Japan
A000000102; Syntactics Limited; UK
A000000103; Catuity Incorporated; US
A000000104; Israel Credit Cards Ltd.; Israel
A000000105; Digital Pockets, LLC; US
A000000106; Protective Technology; Norway
A000000107; HSB Cards & Card Systems B.V.; Netherlands
A000000108; AETeurope b.v.; Netherlands
A000000109; Citicorp Development Center Inc.; US
A000000110; The Boots Company PLC; UK
A000000111; Die Post Postfinance; Switzerland
A000000112; Lironic, INC.; US
A000000113; Datacard Platform Seven Limited; UK
A000000114; Sila Communications Scandinavia Aps; Denmark
A000000115; NTT Communications Corporation; Japan
A000000116; GSA - TFCS; US
A000000117; Airtel Movil S.A.; Spain
A000000118; Austria Card; Austria
A000000119; Logico Smartcard Solutions GmbH.; Austria
A000000120; PBS Data A/S; Denmark
A000000121; PBS Danmark A/S; Denmark
A000000122; Humetrix.com, Inc.; US
A000000123; Smartcard EZ.com, Inc.; US
A000000124; The Brodie Group; US
A000000125; Department of Veterans Affairs; US
A000000126; Shonkh Technologies International Limited; India
A000000127; SecureNet; Australia
A000000128; Infineer Ltd; UK
A000000129; Carde Systems Inc.; Canada
A000000130; Global Consumer Technologies, Inc.; Canada
A000000131; Mxi Technologies Ltd.; Canada
A000000132; Java Card Forum; US
A000000133; St. Geroge Bank Australia; Australia
A000000134; Smartix International Corporation; US
A000000135; Goldkey Technology Corporation; Taiwan
A000000136; Worldsmart Technology; Australia
A000000137; BZA Bargeldlose Zahlungs- und Abrechnungssysteme GmbH; Germany
A000000138; Acer Internet Services, Inc.; Taiwan
A000000139; Japan Point Anex Co., Ltd.; Japan
A000000140; TDS TODOS DATA SYSTEM AB; Sweden
A000000141; Associazione Bancaria Italiana; Italy
A000000142; Toppan Printing Co. Ltd.; Japan
A000000143; ANZ Banking Group; Australia
A000000144; Multos Consortium; UK
A000000145; Yokosuka City; Japan
A000000146; Keihin Electric Express Railway Co., Ltd.; Japan
A000000147; Defense Manpower Data Center; US
A000000149; CISRA (Canon Research Systems Research Australia Pty Ltd); Australia
A000000150; Smart Chip Limited ; India
A000000151; GlobalPlatform, Inc.; US
A000000152; Diners Club International Ltd.; US
A000000153; National Credit Card Center of R.O.C.; Taiwan
A000000154; Banrisul - Banco do Estado do Rio Grande do SUL - S.A.; Brazil
A000000155; Deltaknot SDN. BHD.; Malaysia
A000000156; HOB electronic GmbH & Co. KG; Germany
A000000157; Zühlke Engineering AG; Switzerland
A000000158; Cornish Key; UK
A000000159; Hyweb Technology Co., Ltd.; Taiwan
A000000160; Chinatrust Commercial Bank; Taiwan
A000000161; Advanced Wave; UK
A000000162; Europay (Switzerland) SA; Switzerland
A000000163; Prepayment Cards Limited; UK
A000000164; Athena Smartcard Ltd; UK
A000000165; S-Card A/S; Denmark
A000000166; Identix Incorporated; US
A000000167; IBM; Germany
A000000168; Dai Nippon Printing Co., Ltd. (DNP); Japan
A000000169; Smart Chip Technologies, LLC; US
A000000170; The Chinese Bank; Taiwan
A000000171; Decru, Inc.; US
A000000172; Financial Information Service Co. Ltd.; Taiwan
A000000174; Sodexho-ccs; France
A000000175; Panini Italia Srl; Italy
A000000176; Banksys; Belgium
A000000177; Ministère de L'Intérieur; Belgium
